user_id,name,review_count,yelping_since,useful,funny,cool,elite,fans,average_stars
40,Rachael,162,2010-07-14 14:40:04,130,38,46,"2012,2013,2014,2015,2016,2017",7,3.69
41,Mark,903,2012-10-08 21:13:09,8154,3985,7121,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",107,3.84
42,Adria,269,2011-02-27 03:30:18,203,59,93,2019,21,3.83
43,Steph,168,2012-05-21 01:18:42,364,92,162,"2012,2013,2014",15,4.18
44,John,203,2009-07-14 14:25:35,1032,847,712,"2012,2013,2014,2015,2016,2017",71,3.28
45,Robin,204,2013-01-21 17:39:18,320,107,125,"2013,2014,2021",7,4.16
46,John,188,2007-03-30 23:23:15,170,33,70,"2017,2018,2019,20,20,2021",15,4.22
47,Charles,16,2012-01-07 18:12:58,48,12,14,,0,4.18
48,Jeannette,1012,2009-12-03 23:16:01,11112,6821,10041,"2015,2016,2017,2018,2019,20,20,2021",184,4.2
49,Cathy,7,2010-06-12 22:54:08,7,1,0,,2,3.57
50,Doris,25,2009-05-28 17:45:35,13,7,9,,0,3.84
51,Lisa,778,2011-12-06 20:04:55,12572,6818,11289,"2014,2015,2016,2017,2018,2019,20,20,2021",497,4.28
52,Kerri,3,2012-05-23 03:03:50,7,2,3,,0,3.67
53,Justin,47,2015-04-05 05:10:28,51,23,9,,6,3.98
54,Dee,956,2010-06-25 07:42:32,5347,1277,2820,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",176,4.13
55,Lisa,6,2008-08-15 20:19:14,2,1,1,,1,4.13
56,Helen,793,2011-12-23 06:19:38,2608,1097,1611,"2014,2015,2016,2017,2018,2019,20,20,2021",124,4.46
57,Ali,7,2011-02-02 14:58:27,6,2,1,,6,5.0
58,Lauren,256,2013-07-06 01:17:45,763,244,245,"2014,2015,2016,2017,2018",28,3.83
59,Alan,90,2010-06-04 05:13:06,119,24,18,,6,3.76
60,Chris,191,2013-10-04 03:34:35,716,217,421,"2014,2015,2016,2017",33,3.79
61,Jacqueline,422,2014-01-29 22:08:33,3011,1128,2296,"2014,2015,2016,2017,2018,2019,20,20,2021",310,4.07
62,Sean,392,2013-02-06 04:52:01,1630,646,963,"2014,2015,2016,2017,2018,2019,20,20,2021",97,3.89
63,Kiel,36,2013-12-19 23:42:51,46,9,15,,9,4.54
64,Taylor,228,2014-03-17 01:38:50,709,232,376,"2016,2017,2018,2019,20,20,2021",90,4.29
65,Hollei,347,2010-02-10 10:27:04,1136,406,566,"2015,2016,2017,2018",79,3.68
66,Jackie,36,2013-03-23 01:48:23,107,17,15,,3,3.54
67,Lizzie,759,2014-06-08 01:34:04,1631,786,1258,"2018,2019,20,20,2021",58,3.83
68,Pastora Itzel,48,2012-03-17 22:06:57,85,15,21,,4,3.94
69,Kat,14,2012-06-29 15:43:44,14,2,2,,1,4.41
70,Alyssa,42,2014-02-08 03:45:31,24,1,8,,1,4.14
71,My Trang,146,2012-02-23 01:24:48,159,43,37,"2015,2016",7,3.55
72,Andrew,1,2013-09-07 16:49:16,0,0,0,,0,5.0
73,CJ,1,2013-12-29 00:09:07,0,0,0,,0,2.0
74,Yae-Jee,118,2013-12-15 22:15:27,201,48,44,"2016,2017",18,3.76
75,Bree,24,2014-01-10 22:16:32,23,9,2,,0,2.78
76,Kay,15,2016-09-07 00:04:30,17,0,9,,6,4.38
77,Donald,23,2014-02-08 00:36:43,78,29,44,,1,3.63
78,Jevonah,136,2015-06-12 17:40:52,156,42,100,,6,4.59
79,Abby,1154,2015-09-09 00:01:05,3798,967,2638,"2016,2017,2018,2019,20,20,2021",203,3.63
80,Justin,6,2012-11-27 15:51:10,5,1,1,,0,3.17
81,Brian,39,2013-10-02 19:15:32,27,2,22,,3,4.76
82,Bridget,3,2015-07-02 20:34:44,4,0,0,,1,2.33
83,Rula,420,2013-06-19 04:08:03,908,135,509,"2015,2016,2017,2018,2019,20,20,2021",37,4.24
84,Susan,10,2014-09-18 01:37:10,14,0,1,,0,3.7
85,Mike,703,2012-06-26 15:33:41,3235,885,2253,"2014,2015,2016,2017,2018,2019,20,20,2021",52,3.71
86,Donna,10,2014-09-29 11:40:06,7,8,0,,0,2.5
87,Jeremy,4,2015-04-25 20:56:57,13,0,7,,3,5.0
88,Emily,243,2014-08-31 20:50:30,396,89,102,"2016,2017,2018,2019,20,20,2021",14,3.28
89,Jennifer,28,2012-08-28 16:22:29,13,1,1,,0,4.63
90,Sidney,622,2011-06-20 18:58:42,1316,544,646,"2015,2016,2017,2018,2019,20,20,2021",80,4.06
91,Trisha,11,2010-08-09 18:52:51,8,2,1,,0,3.57
92,Asenath,395,2014-03-20 02:05:01,409,84,144,"2014,2015,2016,2017,2018,2019,20,20,2021",18,3.93
93,Rebecca,271,2011-01-28 20:48:24,2561,897,1801,"2016,2017,2018,2019,20,20,2021",139,4.0
94,Riyanka,138,2013-03-02 13:54:20,269,67,125,"2016,2017",22,3.6
95,Elizabeth,32,2015-10-11 12:21:31,14,0,9,,1,4.31
96,Nelson,9,2018-06-05 08:35:14,5,2,1,,0,2.5
97,Brianna,117,2019-02-12 01:40:39,62,12,17,"2019,20,20,2021",1,4.09
98,Nicholas,69,2012-12-03 02:56:00,92,18,56,"2015,2016",3,4.39
99,Grace,11,2013-05-13 21:03:56,33,2,5,,0,3.67
100,Danielle,6,2017-05-29 12:40:52,1,0,0,,0,3.0
101,Wanugee,1956,2007-06-11 03:54:14,21174,13389,17397,"2008,2009,2010,2011,2012",522,3.53
102,Colleen,2775,2006-09-07 19:27:19,33727,21290,24646,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",1102,4.02
103,Connie,1543,2005-10-05 21:46:41,24585,15977,22632,"2006,2007,2008,2009,2010",1585,4.17
104,Carnley,339,2006-11-27 17:09:30,720,372,244,"2010,2011,2012,2013,2014,2015,2016",13,3.61
105,Michelle,2256,2008-03-28 13:26:38,28235,8198,18687,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",1353,4.05
106,Wendy,2245,2010-03-07 23:44:57,23062,13364,18268,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",462,4.08
107,Katie,1825,2009-05-22 20:19:55,48711,32078,39747,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",3642,4.23
108,Joe,1248,2011-08-08 15:59:52,3249,848,1401,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",99,3.78
109,Tiffany,280,2009-04-01 03:46:42,1151,801,767,"2012,2013,2014,2015,2016,2017,2018,2019",95,3.78
110,Nick,736,2008-01-31 16:39:47,2109,1228,1044,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",57,3.4
111,Melanio,895,2008-07-17 20:39:42,5028,3267,4609,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",109,4.06
112,Tony,395,2011-05-08 13:38:54,869,187,399,"2012,2013,2014,2015,2016,2017,2018",37,3.83
113,Rhea,2070,2008-09-13 21:28:01,8874,3995,5814,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",310,3.69
114,Ginger,129,2010-04-22 08:29:16,157,42,92,"20,20,2021",16,4.34
115,Flora,555,2006-05-08 21:06:01,431,201,228,"2006,2007,2008,2009,2010",27,4.06
116,Douglas,18,2010-05-07 15:53:12,54,11,21,,7,4.44
117,Margaret,809,2010-06-24 14:12:34,2340,616,1150,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",92,3.84
118,Jonathan,118,2010-04-14 06:49:53,440,181,351,2021,15,4.36
119,Andrew,1392,2010-03-09 02:57:01,14476,5155,10034,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",346,3.46
120,Shannon,478,2008-07-25 17:49:47,795,264,427,"2010,2011,2012,2013,2014,2015,2016,2017",31,3.72
121,Andrea,19,2009-05-20 11:25:27,34,1,4,,1,4.42
122,Tony,78,2008-12-09 02:53:55,83,24,23,"2015,2017",4,4.37
123,Amalia,325,2013-05-23 16:36:23,2822,1565,1870,"2013,2014,2015,2016,2017,2018",200,3.62
124,Casey,725,2009-09-22 20:01:15,5816,2547,4105,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",348,3.6
125,Ashley-Marie,35,2011-03-10 00:34:52,153,73,65,,13,4.03
126,Mandi,866,2009-07-23 22:18:41,3096,1486,2546,"2015,2016,2017,2018,2019,20,20,2021",118,3.89
127,Yvelin,447,2012-06-10 12:56:01,3012,1481,2487,"2014,2015,2016,2017,2018,2019",114,3.85
128,Alexander,585,2009-09-11 18:54:30,29028,25559,27442,"2014,2015,2016,2017",143,3.79
129,Nancee,732,2014-08-08 12:42:50,4177,1269,3460,"2015,2016,2017,2018,2019,20,20,2021",127,4.44
130,Nallely,122,2013-10-19 02:57:20,309,101,316,2019,48,4.48
131,Tyler,633,2011-09-07 14:09:37,3711,830,2914,"2014,2015,2018,2019,20,20,2021",423,4.41
132,Kimberly,254,2014-02-06 14:57:56,1262,528,984,"2014,2015,2016,2017,2018,2019,20,20,2021",114,4.53
133,Darla,99,2012-10-20 06:33:03,142,27,101,"2019,20,20,2021",4,4.29
134,Romero,308,2014-06-20 03:26:57,3784,2054,3651,"2015,2016,2018,2019,20,20,2021",221,3.74
135,Ann,565,2011-02-08 16:24:30,1644,531,765,"2012,2013,2014,2015,2016,2017,2018,2019",45,3.42
136,Jimmy,89,2011-01-16 02:47:58,61,29,31,,3,4.37
137,Joan,25,2010-06-03 00:52:44,17,0,5,,0,3.59
138,Aly,168,2014-06-25 01:34:44,106,33,51,,5,4.06
139,Brooke,128,2014-01-11 01:53:14,406,189,278,"2015,2016,2017,2018",52,3.69
140,Alex,15,2013-07-18 22:12:40,17,9,3,,0,3.88
141,Michelle,385,2011-07-16 04:56:42,252,49,115,"2017,2018,2019,20,20,2021",13,3.89
142,Nicholas,104,2015-05-10 20:23:18,897,269,680,"2015,2017,2018,2019",73,4.0
143,Sedna,104,2014-09-26 03:14:08,140,40,55,,4,3.6
144,Ligia,29,2015-02-10 18:24:51,22,8,9,,3,4.81
145,Georgio,444,2011-05-13 20:58:00,388,118,65,,9,3.27
146,Rob,124,2014-09-14 01:01:30,368,171,244,,80,3.52
147,Elysia,445,2011-04-03 02:35:33,1301,472,803,"2015,2016,2017,2018,2019,20,20,2021",62,3.7
148,Kevin,62,2007-08-13 02:14:55,98,33,33,"2014,2015",6,4.29
149,Max,541,2014-07-07 17:05:03,5387,2603,5126,"2017,2018,2019,20,20,2021",77,3.72
150,Alysha,820,2014-01-09 21:55:30,2635,885,2164,"2016,2017,2018,2019,20,20,2021",60,3.95
151,Xander,237,2013-02-26 15:07:55,218,32,80,"2015,2016,2017",10,3.99
152,Rick,74,2011-07-09 16:16:34,331,20,219,2021,19,4.21
153,Bitsy,203,2014-02-15 18:48:02,3096,2090,2740,,162,3.99
154,Courtney,11,2014-07-17 00:30:10,1,0,0,,0,3.83
155,Candice,32,2011-04-22 16:37:55,6,2,0,,1,4.11
156,Trinh,280,2015-07-04 18:09:40,1161,343,695,"2018,2019,20,20,2021",109,3.87
157,Kathryn,72,2017-10-19 03:19:24,84,15,17,"2019,20,20,2021",3,3.48
158,Aundra-Lyn,417,2017-08-24 01:11:23,16432,7717,14204,"2017,2018,2019,20,20",235,4.29
159,Kelly,109,2015-07-27 19:57:21,1043,485,429,"2015,2016,2017,2018",7,4.37
160,Chris,562,2015-07-17 13:24:28,4624,1953,3589,"2015,2016,2017,2018",124,3.9
161,Dmitri,11,2015-06-17 17:20:16,12,1,6,,1,3.27
162,Eileen,553,2018-03-13 14:55:12,1785,557,1310,"2018,2019,20,20,2021",30,3.95
163,Danielle,22,2013-05-08 02:24:48,21,1,22,,2,4.55
164,Clayton,5,2016-02-27 19:24:33,0,1,0,,0,4.33
165,Ahmad,11,2014-04-22 00:56:12,19,0,5,,1,4.38
166,Beverly,102,2012-11-08 22:36:30,214,33,82,"2016,2017,2018",11,4.0
167,Mallory,5,2015-10-17 12:48:10,1,0,0,,0,5.0
168,Chris,3,2017-02-19 06:09:53,4,0,0,,0,3.67
169,Cathy,31,2012-12-01 17:30:47,25,3,6,,1,3.64
170,Jourdan,7,2016-10-10 17:49:11,4,0,0,,0,4.0
171,Alexa,37,2017-07-18 19:17:39,150,66,115,2021,6,4.24
172,Poorvi,91,2015-07-26 20:59:42,216,30,178,"2019,20,20,2021",16,4.47
173,Heather,12,2015-06-16 21:19:32,3,0,1,,0,2.57
174,Aarti,89,2013-01-19 03:33:17,26,13,15,,1,4.11
175,Cristina,23,2013-11-30 23:25:48,13,1,5,,0,4.41
176,Susan-Moni,123,2007-08-12 06:13:36,268,88,194,"2017,2018,2019,20,20,2021",11,3.93
177,Roxana,149,2017-12-09 00:13:31,164,21,120,"2019,20,20,2021",19,4.56
178,Jeff,1,2018-03-25 14:43:28,0,0,0,,0,3.0
179,Truth,23,2015-05-30 16:46:58,25,8,6,,1,2.67
180,Liiisa,195,2006-12-25 04:08:23,2644,1792,2071,"2007,2008,2009",155,3.53
181,McKenzie,1128,2010-12-28 00:09:59,10252,4880,7099,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",517,4.06
182,Sara,4,2010-05-08 02:02:24,3,0,1,,0,4.5
183,Toshi,1273,2008-01-01 22:26:34,6041,3769,4949,"2009,2010,2011,2012,2013,2015,2016,2018,2019,20,20,2021",149,4.23
184,Bruce,566,2006-10-10 00:16:07,1352,701,1001,"2007,2008,2009",69,4.14
185,Katie,537,2007-06-15 21:49:20,1026,401,564,"2011,2012,2013,2014,2015",68,4.24
186,Adrienne,727,2006-07-31 23:12:50,3559,1295,2786,"2006,2007,2008,2009,2014,2015,2016,2017,2018,2019,20,20,2021",409,4.06
187,Pea,7,2010-07-07 23:59:46,4,0,0,,1,4.25
188,Rochelle,398,2006-12-20 05:42:50,2380,2048,2060,,122,3.81
189,Sarah-Melissa,88,2009-10-20 19:22:57,73,37,31,,2,3.87
190,Robert,1035,2009-03-13 04:18:43,2036,792,1707,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",56,4.04
191,Erik,124,2011-11-27 23:39:06,244,66,133,"2015,2016",18,4.06
192,Arlene,148,2012-01-11 17:24:33,334,92,181,"2012,2013,2016,2017",16,3.92
193,Melissa,7,2009-07-27 19:47:43,21,0,1,,0,3.86
194,Renee,4,2011-12-03 05:13:54,3,2,1,,0,4.0
195,Steve,275,2008-05-06 17:28:31,986,377,638,"2011,2012,2013,2014,2015,2016,2019,20,20,2021",26,3.8
196,Jackie,291,2011-01-01 21:30:08,1546,678,1189,"2017,2018,2019,20,20,2021",37,3.66
197,Jovan,11,2011-07-24 04:26:01,4,0,1,,2,4.36
198,Allison,168,2011-02-06 04:58:10,217,53,72,"2012,2013,2014",5,3.85
199,Jerri,16,2013-01-11 16:05:08,6,0,1,,2,4.06
200,Ryan,5,2013-10-24 17:15:43,4,0,0,,0,3.4
201,Maria,3,2017-04-29 17:46:28,0,0,0,,0,5.0
202,Michael,832,2016-09-21 00:24:24,43173,19594,40159,"2018,2019,20,20,2021",229,3.91
203,Kit,177,2014-02-18 12:41:48,631,189,391,"2014,2015,2016,2017",47,3.99
204,Sarah,480,2013-09-01 06:52:08,2081,874,1236,"2015,2016,2017,2018,2019,20,20,2021",72,3.89
205,Kelly,266,2014-03-14 20:36:26,844,165,437,"2017,2018,2019,20,20,2021",27,4.18
206,Jeffrey,70,2014-06-05 20:02:39,35,3,2,,0,3.33
207,Robin,21,2013-12-29 00:33:40,26,2,10,,1,3.84
208,Mary,3,2014-12-28 00:11:29,2,0,3,,0,4.0
209,Ronald,2,2016-01-21 16:12:37,0,0,0,,0,5.0
210,Taylor,29,2012-09-22 19:04:45,14,3,3,,0,3.87
211,Cathy,11,2015-06-18 14:08:14,3,0,0,,1,4.73
212,Sarah,13,2015-07-20 22:10:27,7,4,5,,0,4.38
213,Richard,127,2014-08-03 03:51:38,153,54,112,"2018,2019,20,20,2021",2,4.44
214,Bailey,7,2016-11-24 01:16:22,1,1,0,,0,2.75
215,Silke,3,2017-04-17 00:53:26,2,0,0,,0,2.33
216,Eric,594,2009-06-24 07:35:01,10756,7214,7930,"2010,2011,2012,2013,2014",103,3.74
217,Funglin,501,2010-11-02 01:18:43,847,214,315,"2011,2012,2013,2014,2015,2016,2017,2019,20,20,2021",47,3.78
218,Aom,44,2010-03-26 15:27:40,45,12,11,,6,3.96
219,Maya,178,2010-06-08 02:39:08,415,93,186,"2017,2018,2019,20,20,2021",14,4.21
220,Aleesha,117,2008-11-08 00:29:15,319,254,184,2010,14,3.36
221,Andrea,399,2010-11-06 14:47:00,1577,1227,989,"2011,2012,2013,2014,2015,2016",75,3.72
222,Dana,499,2009-09-14 20:56:20,2148,695,1524,"2012,2013,2014",59,3.98
223,Shaina,671,2007-07-31 19:21:58,1510,646,871,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",57,3.9
224,Annie,1170,2009-10-13 04:20:28,7246,2691,4799,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",338,3.83
225,Hutch,258,2008-07-27 02:58:41,714,275,409,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",45,3.88
226,Tiffany,157,2009-08-04 18:23:19,648,427,433,"2013,2014,2015",40,3.7
227,Danielle,143,2009-10-21 00:01:21,517,225,346,"2012,2013",14,3.92
228,Laura,445,2012-01-19 04:18:03,1939,1132,1503,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",111,4.55
229,Ky,378,2012-05-28 15:56:22,4996,1651,3247,"2015,2016,2017,2018,2019,20,20,2021",361,3.58
230,Efrain,18,2012-01-27 18:15:40,18,3,5,,1,3.41
231,Liana,399,2011-10-30 01:06:54,1301,531,895,"2014,2015,2016,2017,2018,2019,20,20,2021",50,3.97
232,Shon,647,2011-01-08 17:34:00,1261,232,701,"2015,2016,2017,2018,2019,20,20,2021",28,3.83
233,Jenna,22,2011-01-02 02:13:21,43,5,6,,3,3.48
234,Kevin,1,2018-04-19 23:49:12,0,0,0,,0,5.0
235,Stephanie,92,2014-03-19 06:02:15,118,24,44,"2017,2018,2019,20,20,2021",10,4.15
236,Big John,227,2013-11-16 22:51:18,220,108,159,"2015,2016,2021",16,4.12
237,Robin,8,2011-07-20 00:28:47,7,1,3,,0,4.75
238,Carrie,292,2014-03-01 17:48:04,234,66,101,2021,6,4.07
239,Cayla,6,2017-08-01 15:22:56,1,0,0,,0,3.83
240,Bridget,4,2018-05-21 17:55:45,0,0,0,,0,4.0
241,Brian,28,2015-10-29 18:03:37,7,4,2,,1,3.63
242,Douglas,5,2017-03-04 05:07:54,9,0,1,,0,1.4
243,Maggie,4,2015-05-09 20:20:04,2,1,0,,0,5.0
244,T,6,2015-06-03 19:20:17,6,0,0,,1,3.86
245,Ashley,506,2016-11-05 18:32:28,2758,823,2426,"2017,2018,2019,20,20,2021",90,4.4
246,Gabe,27,2015-10-03 22:44:40,30,2,2,,2,4.68
247,Chrissy,170,2012-05-17 18:55:39,274,69,88,"2019,20,20,2021",21,3.58
248,Angela,169,2015-03-28 09:38:51,131,18,25,"2019,20,20,2021",5,4.25
249,Heather,2,2013-11-27 22:57:09,10,1,0,,0,1.0
250,David,21,2012-08-26 00:01:33,19,4,0,,0,4.62
251,KarmaQueen,45,2013-08-15 15:21:02,33,9,11,,2,2.98
252,MacKenzie,1,2018-03-12 23:27:59,0,0,0,,0,5.0
253,Kristin,8,2018-08-19 20:31:50,1,0,0,,0,4.67
254,Hannah,1,2018-02-16 01:26:42,0,0,0,,0,5.0
255,Jess,3,2015-10-10 16:46:45,1,0,0,,0,2.33
256,Johnny,2,2016-03-15 00:15:00,4,1,2,,1,5.0
257,Alexandra,4,2019-07-02 14:03:26,1,0,0,,0,3.0
258,Christina,3,2016-10-17 04:47:39,6,1,1,,0,3.67
259,Samantha,3,2011-03-24 02:12:27,1,1,0,,0,3.67
260,Crystal,1,2018-05-02 16:47:47,0,0,0,,0,5.0
261,John,347,2015-10-04 21:40:11,1190,489,987,"2019,20,20,2021",31,4.16
262,Gary,15,2012-09-19 07:00:44,6,1,0,,0,2.84
263,Sara,1,2020-01-18 20:49:31,0,0,0,,0,5.0
264,Erick,5,2011-03-24 15:04:41,2,2,1,,0,4.6
265,Brian,34,2014-10-22 01:00:47,19,5,1,,0,3.67
266,Arnel,3139,2010-04-30 17:40:49,13606,5817,10188,"2015,2016,2017,2018,2019,20,20,2021",428,4.34
267,Greer,15,2009-10-18 16:36:33,5,3,2,,1,4.63
268,Asya,126,2010-08-20 20:01:55,143,61,133,"2018,2019,20,20,2021",23,4.85
269,Matthew,6,2011-04-02 02:57:43,10,2,3,,2,3.67
270,Hilary,1209,2008-01-23 19:23:47,7713,2392,4113,"2010,2011,2012,2013,2014,2015,2016,2017,20,20,2021",441,4.06
271,Mary,552,2008-04-18 06:16:07,2544,1497,1730,"2014,2015,2016,2017,2018,2019,20,20,2021",75,3.91
272,Dennis,1129,2011-05-30 10:12:39,9416,4360,7555,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",168,4.06
273,Maggie,118,2009-07-17 21:36:09,249,54,77,"2012,2021",6,4.54
274,Jin,1260,2007-02-19 18:43:13,2909,1338,1773,"2007,2008,2009,2010,2014,2015,2016,2017,2018,2019,20,20,2021",159,3.72
275,Mel,204,2011-11-06 17:08:24,734,322,502,"2012,2013,2014",25,3.84
276,Donovan,6,2016-05-21 10:45:28,6,0,1,,0,3.17
277,Charlie,21,2013-06-21 01:01:29,26,3,4,,0,4.0
278,Chantelle,592,2015-01-21 02:48:07,2751,900,1949,"2015,2016,2017,2018,2019,20,20,2021",193,4.0
279,Joey,3,2015-10-14 19:27:29,1,0,1,,0,5.0
280,Alex,11,2013-01-28 23:14:16,12,0,0,,1,4.83
281,Bonnie,525,2012-03-07 16:23:44,762,154,373,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",48,4.03
282,Caitlin,18,2017-02-26 17:17:19,11,3,2,,1,3.17
283,Lynn,225,2014-05-30 06:14:01,2620,1932,2454,"2016,2017,2018,2019,2021",64,4.31
284,Courtney,6,2017-01-04 05:02:36,0,0,0,,0,4.33
285,Jared,4,2019-05-04 15:32:33,4,0,0,,0,4.4
286,Cindy,27,2016-02-14 18:02:35,8,3,3,2019,0,3.62
287,Matt,3,2019-07-12 03:49:16,2,1,0,,0,2.0
288,Ron,94,2015-06-21 13:54:47,32,3,3,,0,4.33
289,Alyssa,3,2018-06-19 22:08:10,0,0,0,,0,3.0
290,Ahmad,2,2019-11-08 19:10:39,0,0,0,,0,5.0
291,Jessica,174,2019-09-12 01:24:27,326,119,256,"2019,20,20,2021",17,4.21
292,Abby,174,2019-02-18 02:03:45,1023,252,667,"2019,20,20,2021",48,4.1
293,Brandon,63,2015-06-19 16:32:27,164,11,139,"20,20,2021",1,4.05
294,Natasha,49,2010-08-17 20:11:10,245,156,174,,72,4.09
295,Rob,28,2009-10-18 06:12:16,18,6,7,,0,4.48
296,James,289,2008-12-31 04:03:40,1320,657,972,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",34,4.26
297,Randy,1506,2006-08-23 01:25:35,13368,5070,9426,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",643,3.64
298,Melanie,890,2007-10-09 20:05:27,12028,8461,10217,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019",193,3.92
299,Chrystal,273,2009-05-11 18:37:22,504,239,185,"2010,2011,2012,2013,2014,2015",28,4.01
300,Jenni,203,2007-10-25 18:58:12,555,375,445,"2008,2009,2010",78,3.76
301,Oliver,3,2010-08-18 19:13:03,11,0,4,,8,5.0
